Maximum Temperature,Minimum Temperature,Temperature,Precipitation,Soil pH,Relative Humidity,Environmental Condition
33.1,17.5,25.4,0,6.69,48.93,good
33.1,11.2,24.8,0,5.59,42.3,good
31.1,11.2,24.3,0,7.05,57.2,good
37.1,17.2,26.3,0,7.27,53.69,good
34.1,17.3,25.9,0,6.62,44.75,good
32.1,12.2,24,261.9,7.48,58.78,good
30.1,15.3,23,0,6.02,63.04,good
33.1,10.4,25,11.9,7.44,53.39,good
35.1,18.1,25.1,0,7.18,59.11,good
38.1,11.9,26.7,0,6.38,47.16,good
32.4,14.4,24.9,0,5.51,48.34,good
34.5,18.9,26,0,6.58,50.02,good
40.1,16.2,28.5,0,6.05,40.82,good
38.4,18.4,29.9,0,6.27,50.4,good
34.4,24.2,29.1,4.2,7.15,56.6,good
38.7,22.2,28.7,0,7.26,65.1,good
34.6,22.7,29,5.6,6.49,65.55,good
35.5,22.7,29.3,0,6.37,61.3,good
34.7,23.4,29.3,3.1,7.12,62.09,good
33.7,23,29.5,7.4,6.24,60.46,good
34.1,22.1,28.2,219.76,5.66,72.32,good
33.1,24.4,29.8,29.98,5.55,73.47,good
33.2,22.4,29,104.94,5.51,79.73,good
33.1,22.2,28.6,161.61,6.31,80.26,good
31.1,22.7,28.8,18.71,7.44,68.99,good
32.1,23.4,29.3,27.24,6.07,75.53,good
32.1,22.2,27.5,134.81,7.09,86.15,good
30.1,22.4,26.8,364.83,7.11,83.82,good
30.1,22.4,26.6,567.93,6.21,83.52,good
30.1,22.4,27.6,37.28,7.21,82.96,good
31.1,20.4,28.2,12.6,6.17,77.11,good
33.1,23,29.7,8.3,7.1,71.74,good
33.1,21.2,28.8,197.34,7.25,77.16,good
33.1,21.9,30,31.52,7.2,70.46,good
30.1,22.7,27.1,231.79,6.56,86.98,good
30.1,21.7,26.1,126.53,6.57,87.18,good
30.1,20.7,27.4,10.14,7.14,78.95,good
32.1,18.4,28.2,0.2,5.52,74.64,good
34.1,18.4,28.5,23.8,6.93,75.25,good
33.1,21.1,28.2,194.74,5.57,76.27,good
33.1,22.4,28.4,45.09,7.31,74.68,good
33.1,20.6,28.2,96.73,5.57,73.56,good
36.1,14.1,28.2,0,7.49,68.75,good
35.1,20.1,27.8,0,6.87,68.97,good
34.1,14.1,27.1,18.2,6.92,67.51,good
36.1,17.4,27,30,6.57,67.97,good
35.1,17.9,27.1,0,7.34,58.32,good
36.1,18.5,26.9,0,5.68,58.13,good
34.1,12.7,25.9,0,5.58,54.4,good
35.1,8.1,25.4,0,6.68,52.12,good
34.1,12.4,24.6,0,7.45,56.56,good
35.1,13.7,25,0,5.67,55.36,good
35.1,8.4,24.7,15.15,6.7,57.75,good
33.1,16.5,24.1,0,5.88,64.99,good
30.1,11.4,23.6,0,6.48,63.21,good
33.1,15.7,25.4,0,5.9,59.31,good
31.1,11.2,22.1,0,7.04,57.74,good
32.4,14.4,23.6,0,5.82,55.83,good
36.9,10.4,22.9,0,6.28,56.79,good
33.7,13.6,22.8,0,6.26,63.16,good
33.2,11.4,25.3,0,5.67,65.71,good
33.7,11.1,25.8,0,6.78,65.76,good
32.7,14.7,25.8,0,6.5,63.82,good
32.4,13.7,25.5,0,6.66,67.23,good
